id,title,source,published_at,location,crime_type,url,is_reviewed
1,TTE arrested for sexually harassing woman passenger,The Times of India,2026-09-12,Chennai (General),Harassment,https://timesofindia.indiatimes.com/city/kochi/tte-arrested-for-sexually-harassing-woman-passenger/articleshow/134141479.cms,False
2,"Fake sales tax officers rob Rs 70 lakh iron-rod consignment, abduct driver; 2 held in Palwal",The Times of India,2026-09-12,Chennai (General),Theft,https://timesofindia.indiatimes.com/city/gurgaon/fake-sales-tax-officers-rob-rs-70-lakh-iron-rod-consignment-abduct-driver-2-held-in-palwal/articleshow/134140635.cms,False
3,"‘Murder by system’: CJP’s Abhijeet Dipke blames govt for MPSC aspirant's death; flags paper leaks, unemployment",The Times of India,2026-09-10,Chennai (General),Assault,https://timesofindia.indiatimes.com/city/pune/murder-by-system-cjps-abhijeet-dipke-blames-govt-for-mpsc-aspirants-death-flags-paper-leaks-unemployment/articleshow/134008511.cms,False
4,3 school students among four held for TVK functionary murder,The Times of India,2026-09-08,Chennai (General),Assault,https://timesofindia.indiatimes.com/city/chennai/3-school-students-among-four-held-for-tvk-functionary-murder/articleshow/133931525.cms,False
5,34 illegal motors seized by Metrowater across city,The Times of India,2026-09-08,Chennai (General),Theft,https://timesofindia.indiatimes.com/city/chennai/34-illegal-motors-seized-by-metrowater-across-city/articleshow/133931122.cms,False
6,Railway police arrest two women from Karnataka for gold chain theft,The Times of India,2026-09-08,Chennai (General),Theft,https://timesofindia.indiatimes.com/city/chennai/railway-police-arrest-two-women-from-karnataka-for-gold-chain-theft/articleshow/133928926.cms,False
7,2 held for fatal assault on Hazaribag man,The Times of India,2026-09-08,Chennai (General),Assault,https://timesofindia.indiatimes.com/city/ranchi/2-held-for-fatal-assault-on-hazaribag-man/articleshow/133924507.cms,False
8,Shiv Sena suspends Palghar city chief Rahul Gharat over hospital assault,The Times of India,2026-09-07,Chennai (General),Assault,https://timesofindia.indiatimes.com/city/mumbai/shiv-sena-suspends-palghar-city-chief-rahul-gharat-over-palghar-hospital-assault/articleshow/133885152.cms,False
9,"21-yr-old held for abducting, sexually assaulting minor in Jaipur",The Times of India,2026-09-07,Chennai (General),Assault,https://timesofindia.indiatimes.com/city/jaipur/21-yr-old-held-for-abducting-sexually-assaulting-minor-in-jaipur/articleshow/133883367.cms,False
10,"Udhayanidhi, Kanimozhi slam govt over murders in Chennai",The Times of India,2026-09-06,Chennai (General),Assault,https://timesofindia.indiatimes.com/city/chennai/udhayanidhi-kanimozhi-slam-govt-over-murders-in-chennai/articleshow/133846627.cms,False
11,Five Men Hack History-Sheeter In Chennai To Death Over Murder In 2009,The Times of India,2026-09-06,Adyar,Assault,https://timesofindia.indiatimes.com/city/chennai/five-men-hack-history-sheeter-in-chennai-to-death-over-murder-in-2009/articleshow/133846606.cms,False
12,"Man under influence of ganja attacks ambulance staff, damages equipment",The Times of India,2026-09-08,Saidapet,Assault,https://timesofindia.indiatimes.com/city/chennai/man-under-influence-of-ganja-attacks-ambulance-staff-damages-equipment/articleshow/133930321.cms,False
13,Stolen emerald idol recovered from an abandoned quarry in Chengalpet,Times of India — Chennai,2026-09-13,Chengalpet,Theft,https://timesofindia.indiatimes.com/city/chennai/stolen-emerald-idol-recovered-from-an-abandoned-quarry-in-chengalpet/articleshow/134218716.cms,False
14,Chennai’s golden dog ‘safe and glowing still’,The Hindu — Chennai,2026-09-13,Tambaram,Theft,https://www.thehindu.com/news/cities/chennai/besant-nagars-golden-dog-safe-and-glowing-still/article71461736.ece,False
